Family,Genus,Species,Taxon Name,Category,Criteria,IUCN Assessment completed,Notes,Endemic?,Information inputted into SIS,Assessment reviewed,Map completed,Submitted to IUCN
RUBIACEAE,Guettarda,brenesii,Guettarda brenesii,,,,,,,,,
RUBIACEAE,Guettarda,foliacea,Guettarda foliacea,,,,,,,,,
RUBIACEAE,Guettarda,sanblasensis,Guettarda sanblasensis,,,,,,,,,
RUBIACEAE,Hillia,longifilamentosa,Hillia longifilamentosa,,,,,,,,,
RUBIACEAE,Hillia,palmana,Hillia palmana,,,,,,,,,
RUBIACEAE,Hintonia,lumana,Hintonia lumana,,,,,,,,,
RUBIACEAE,Hoffmannia,josefina,Hoffmannia josefina,,,,,,,,,
RUBIACEAE,Hoffmannia,micrantha,Hoffmannia micrantha,,,,,,,,,
RUBIACEAE,Isertia,scorpioides,Isertia scorpioides,,,,,,,,,
RUBIACEAE,Ixora,floribunda,Ixora floribunda,LC,,,,,,,,
RUBIACEAE,Osa,pulchra,Osa pulchra,,,,,,,,,
RUBIACEAE,Palicourea,adusta,Palicourea adusta,,,Kew to compile draft,,,,,,
RUBIACEAE,Palicourea,salicifolia,Palicourea salicifolia,,,Kew to compile draft,,,,,,
RUBIACEAE,Palicourea,alajuelensis,Palicourea alajuelensis,,,,,,,,,
RUBIACEAE,Palicourea,albocaerulea,Palicourea albocaerulea,,,,,,,,,
RUBIACEAE,Palicourea,aurantiibractea,Palicourea aurantiibractea,,,,,,,,,
RUBIACEAE,Palicourea,beachiana,Palicourea beachiana,,,,,,,,,
RUBIACEAE,Palicourea,bellula,Palicourea bellula,,,,,,,,,
RUBIACEAE,Palicourea,brenesii,Palicourea brenesii,,,,,,,,,
RUBIACEAE,Palicourea,carnosocarpa,Palicourea carnosocarpa,,,,,,,,,
RUBIACEAE,Palicourea,chiriquina,Palicourea chiriquina,,,,,,,,,
RUBIACEAE,Palicourea,grandifructa,Palicourea grandifructa,,,,,,,,,
RUBIACEAE,Palicourea,hammelii,Palicourea hammelii,,,,,,,,,
RUBIACEAE,Palicourea,horquetensis,Palicourea horquetensis,,,,,,,,,
RUBIACEAE,Palicourea,lancifera,Palicourea lancifera,,,,,,,,,
RUBIACEAE,Palicourea,macrocalyx,Palicourea macrocalyx,,,,,,,,,
RUBIACEAE,Palicourea,macrosepala,Palicourea macrosepala,,,,,,,,,
RUBIACEAE,Palicourea,matamana,Palicourea matamana,,,,,,,,,
RUBIACEAE,Palicourea,montensis,Palicourea montensis,,,,,,,,,
RUBIACEAE,Palicourea,orosiana,Palicourea orosiana,,,,,,,,,
RUBIACEAE,Palicourea,osaensis,Palicourea osaensis,,,,,,,,,
RUBIACEAE,Palicourea,palustris,Palicourea palustris,,,,,,,,,
RUBIACEAE,Palicourea,pauciflora,Palicourea pauciflora,,,,,,,,,
RUBIACEAE,Palicourea,pereziana,Palicourea pereziana,,,,,,,,,
RUBIACEAE,Palicourea,skotakii,Palicourea skotakii,,,,,,,,,
RUBIACEAE,Palicourea,spathacea,Palicourea spathacea,,,,,,,,,
RUBIACEAE,Palicourea,tapantiensis,Palicourea tapantiensis,,,,,,,,,
RUBIACEAE,Palicourea,tilaranensis,Palicourea tilaranensis,,,,,,,,,
RUBIACEAE,Palicourea,torresiana,Palicourea torresiana,,,,,,,,,
RUBIACEAE,Palicourea,triphylla,Palicourea triphylla,,,,,,,,,
RUBIACEAE,Palicourea,tsakiana,Palicourea tsakiana,,,,,,,,,
RUBIACEAE,Palicourea,valerioana,Palicourea valerioana,,,,,,,,,
RUBIACEAE,Palicourea,veracruzensis,Palicourea veracruzensis,,,,,,,,,
RUBIACEAE,Pentagonia,hirsuta,Pentagonia hirsuta,,,,,,,,,
RUBIACEAE,Pentagonia,lobata,Pentagonia lobata,,,,,,,,,
RUBIACEAE,Pentagonia,osaensis,Pentagonia osaensis,,,,,,,,,
RUBIACEAE,Pentagonia,tinajita,Pentagonia tinajita,,,,,,,,,
RUBIACEAE,Posoqueria,costaricensis,Posoqueria costaricensis,,,,,,,,,
RUBIACEAE,Posoqueria,grandifructa,Posoqueria grandifructa,,,,,,,,,
RUBIACEAE,Posoqueria,robusta,Posoqueria robusta,,,,,,,,,
RUBIACEAE,Psychotria,calophylla,Psychotria calophylla,,,,,,,,,
RUBIACEAE,Psychotria,hamiltoniana,Psychotria hamiltoniana,,,,,,,,,
RUBIACEAE,Psychotria,herrerana,Psychotria herrerana,,,,,,,,,
RUBIACEAE,Psychotria,jefensis,Psychotria jefensis,,,,,,,,,
RUBIACEAE,Psychotria,jimenezii,Psychotria jimenezii,,,,,,,,,
RUBIACEAE,Psychotria,lamarinensis,Psychotria lamarinensis,,,,,,,,,
RUBIACEAE,Psychotria,laselvensis,Psychotria laselvensis,,,,,,,,,
RUBIACEAE,Psychotria,limonensis,Psychotria limonensis,,,,,,,,,
RUBIACEAE,Psychotria,monteverdensis,Psychotria monteverdensis,,,,,,,,,
RUBIACEAE,Psychotria,neillii,Psychotria neillii,,,,,,,,,
RUBIACEAE,Psychotria,nubiphila,Psychotria nubiphila,,,,,,,,,
RUBIACEAE,Psychotria,orosioides,Psychotria orosioides,,,,,,,,,
RUBIACEAE,Psychotria,panamensis,Psychotria panamensis,,,,,,,,,
RUBIACEAE,Psychotria,pisonioides,Psychotria pisonioides,,,,,,,,,
RUBIACEAE,Psychotria,sixaolensis,Psychotria sixaolensis,,,,,,,,,
RUBIACEAE,Psychotria,turrubarensis,Psychotria turrubarensis,,,,,,,,,
RUBIACEAE,Randia,brenesii,Randia brenesii,,,,,,,,,
RUBIACEAE,Randia,calycosa,Randia calycosa,,,,,,,,,
RUBIACEAE,Randia,grayumii,Randia grayumii,,,,,,,,,
RUBIACEAE,Randia,mira,Randia mira,,,,,,,,,
RUBIACEAE,Randia,pittieri,Randia pittieri,,,,,,,,,
RUBIACEAE,Rudgea,amplexicaulis,Rudgea amplexicaulis,,,,,,,,,
RUBIACEAE,Rudgea,coussareoides,Rudgea coussareoides,,,,,,,,,
RUBIACEAE,Rudgea,laevis,Rudgea laevis,,,,,,,,,
RUBIACEAE,Rudgea,monofructus,Rudgea monofructus,,,,,,,,,
RUBIACEAE,Rudgea,raveniana,Rudgea raveniana,,,,,,,,,
RUBIACEAE,Rudgea,trifurcata,Rudgea trifurcata,,,,,,,,,
RUBIACEAE,Rustia,occidentalis,Rustia occidentalis,,,,,,,,,
RUBIACEAE,Simira,maxonii,Simira maxonii,,,,,,,,,
RUBIACEAE,Sommera,donnell-smithii,Sommera donnell-smithii,,,,,,,,,
RUBIACEAE,Stenostomum,turrialbanum,Stenostomum turrialbanum,,,,,,,,,
RUBIACEAE,Tocoyena,pittieri,Tocoyena pittieri,,,,1998 assessment,,,,,
RUBIACEAE,Warszewiczia,uxpanapensis,Warszewiczia uxpanapensis,,,,,,,,,
RUTACEAE,Amyris,brenesii,Amyris brenesii,,,,,,,,,
RUTACEAE,Amyris,magnifolia,Amyris magnifolia,,,,,,,,,
RUTACEAE,Casimiroa,sapota,Casimiroa sapota,,,,,,,,,
RUTACEAE,Erythrochiton,gymnanthus,Erythrochiton gymnanthus,,,,,,,,,
RUTACEAE,Galipea,dasysperma,Galipea dasysperma,,,,,,,,,
RUTACEAE,Lubaria,aroensis,Lubaria aroensis,,,,,,,,,
RUTACEAE,Raputia,heptaphylla,Raputia heptaphylla,,,,,,,,,
RUTACEAE,Stauranthus,perforatus,Stauranthus perforatus,,,,,,,,,
RUTACEAE,Zanthoxylum,panamense,Zanthoxylum panamense,,,,1998 assessment,,,,,
SABIACEAE,Meliosma,clandestina,Meliosma clandestina,,,,,,,,,
SABIACEAE,Meliosma,cresstolina,Meliosma cresstolina,,,,,,,,,
SABIACEAE,Meliosma,depressiva,Meliosma depressiva,,,,,,,,,
SABIACEAE,Meliosma,isthmensis,Meliosma isthmensis,,,,,,,,,
SABIACEAE,Meliosma,laxiflora,Meliosma laxiflora,,,,,,,,,
SABIACEAE,Meliosma,oligantha,Meliosma oligantha,,,,,,,,,
SABIACEAE,Meliosma,subcordata,Meliosma subcordata,,,,,,,,,
SABIACEAE,Meliosma,vernicosa,Meliosma vernicosa,,,,,,,,,
SALICACEAE,Casearia,coronata,Casearia coronata,,,,,,,,,
SALICACEAE,Casearia,standleyana,Casearia standleyana,,,,,,,,,
SALICACEAE,Hasseltiopsis,dioica,Hasseltiopsis dioica,,,,,,,,,
SALICACEAE,Prockia,costaricensis,Prockia costaricensis,,,,,,,,,
SALICACEAE,Xylosma,hispidula,Xylosma hispidula,,,,,,,,,
SAPINDACEAE,Cupania,grandiflora,Cupania grandiflora,,,,,,,,,
SAPINDACEAE,Cupania,largifolia,Cupania largifolia,,,,,,,,,
SAPINDACEAE,Cupania,moralesii,Cupania moralesii,,,,,,,,,
SAPINDACEAE,Dilodendron,elegans,Dilodendron elegans,,,,,,,,,
SAPINDACEAE,Pseudima,costaricensis,Pseudima costaricensis,,,,,,,,,
SAPOTACEAE,Chromolucuma,cespedisiiformis,Chromolucuma cespedisiiformis,,,,,,,,,
SAPOTACEAE,Chrysophyllum,brenesii,Chrysophyllum brenesii,,,,1998 assessment,,,,,
SAPOTACEAE,Chrysophyllum,hirsutum,Chrysophyllum hirsutum,,,,1998 assessment,,,,,
SAPOTACEAE,Manilkara,spectabilis,Manilkara spectabilis,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,austin-smithii,Pouteria austin-smithii,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,calistophylla,Pouteria calistophylla,,,,1998 assessment - not published,,,,,
SAPOTACEAE,Pouteria,exfoliata,Pouteria exfoliata,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,filiformis,Pouteria filiformis,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,fossicola,Pouteria fossicola,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,foveolata,Pouteria foveolata,,,,,,,,,
SAPOTACEAE,Pouteria,lecythidicarpa,Pouteria lecythidicarpa,,,,,,,,,
SAPOTACEAE,Pouteria,leptopedicellata,Pouteria leptopedicellata,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,macrocarpa,Pouteria macrocarpa,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,silvestris,Pouteria silvestris,,,,1998 assessment,,,,,
SAPOTACEAE,Pouteria,spicata,Pouteria spicata,,,,,,,,,
SAPOTACEAE,Pouteria,triplarifolia,Pouteria triplarifolia,,,,1998 assessment,,,,,
SAPOTACEAE,Sideroxylon,contrerasii,Sideroxylon contrerasii,,,,1998 assessment,,,,,
SCHLEGELIACEAE,Gibsoniothamnus,allenii,Gibsoniothamnus allenii,,,,,,,,,
SCROPHULARIACEAE,Peltanthera,floribunda,Peltanthera floribunda,,,,,,,,,
SOLANACEAE,Cestrum,rugulosum,Cestrum rugulosum,LC,,,,,,,,
SOLANACEAE,Cestrum,lewisii,Cestrum lewisii,,,,,,,,,
SOLANACEAE,Cestrum,pittieri,Cestrum pittieri,,,,,,,,,
SOLANACEAE,Cestrum,poasanum,Cestrum poasanum,,,,,,,,,
SOLANACEAE,Solanum,fortunense,Solanum fortunense,,,,1998 assessment,,,,,
SOLANACEAE,Solanum,incomptum,Solanum incomptum,,,,,,,,,
SOLANACEAE,Solanum,pubigerum,Solanum pubigerum,,,,,,,,,
SOLANACEAE,Solanum,sotobosquense,Solanum sotobosquense,,,,,,,,,
STYRACACEAE,Styrax,nicaraguensis,Styrax nicaraguensis,,,,,,,,,
STYRACACEAE,Styrax,steyermarkii,Styrax steyermarkii,,,,,,,,,
SYMPLOCACEAE,Symplocos,naniflora,Symplocos naniflora,,,,,,,,,
SYMPLOCACEAE,Symplocos,oreophila,Symplocos oreophila,,,,,,,,,
SYMPLOCACEAE,Symplocos,povedae,Symplocos povedae,,,,,,,,,
SYMPLOCACEAE,Symplocos,retusa,Symplocos retusa,,,,,,,,,
SYMPLOCACEAE,Symplocos,serrulata,Symplocos serrulata,,,,,,,,,
SYMPLOCACEAE,Symplocos,sousae,Symplocos sousae,,,,1998 assessment,,,,,
SYMPLOCACEAE,Symplocos,striata,Symplocos striata,,,,,,,,,
SYMPLOCACEAE,Symplocos,tribracteolata,Symplocos tribracteolata,,,,,,,,,
THYMELAEACEAE,Daphnopsis,hammelii,Daphnopsis hammelii,,,,,,,,,
THYMELAEACEAE,Schoenobiblus,panamensis,Schoenobiblus panamensis,,,,,,,,,
URTICACEAE,Cecropia,angustifolia,Cecropia angustifolia,,,,,,,,,
URTICACEAE,Cecropia,obtusifolia,Cecropia obtusifolia,,,,1998 assessment,,,,,
URTICACEAE,Cecropia,pittieri,Cecropia pittieri,,,,,,,,,
URTICACEAE,Coussapoa,nymphaeifolia,Coussapoa nymphaeifolia,,,,,,,,,
URTICACEAE,Urera,fenestrata,Urera fenestrata,,,,,,,,,
VERBENACEAE,Citharexylum,costaricense,Citharexylum costaricense,,,,,,,,,
VERBENACEAE,Citharexylum,macradenium,Citharexylum macradenium,,,,,,,,,
VERBENACEAE,Citharexylum,schottii,Citharexylum schottii,,,,,,,,,
VERBENACEAE,Lippia,bicolor,Lippia bicolor,,,,,,,,,
VERBENACEAE,Lippia,chiapasensis,Lippia chiapasensis,,,,,,,,,
VIBURNACEAE,Viburnum,costaricanum,Viburnum costaricanum,,,,1998 assessment,,,,,
VIOLACEAE,Gloeospermum,diversipetalum,Gloeospermum diversipetalum,,,,,,,,,
VIOLACEAE,Orthion,guatemalense,Orthion guatemalense,,,,,,,,,
VIOLACEAE,Rinorea,crenata,Rinorea crenata,,,,1998 assessment,,,,,
VIOLACEAE,Rinorea,dasyadena,Rinorea dasyadena,,,,1998 assessment,,,,,
VOCHYSIACEAE,Vochysia,megalophylla,Vochysia megalophylla,,,,,,,,,
